pathway	pval	padj	log2err	ES	NES	size	leadingEdge
52	KEGG_FOCAL_ADHESION	0.279850746268657	0.599006256900994	0.108820126769161	0.267772855708219	1.08129623113315	129	c("JUN", "LAMA2", "MYL9", "CAV1", "PDGFRA", "LAMB2", "ITGA7", "EGFR", "ITGA10", "COL6A2", "LAMA5", "LAMC1", "TLN2", "PDGFB", "CCND3", "BCAR1", "ITGA3", "ITGA2B", "VCL", "ITGA6", "PDGFRB", "VAV2", "FLNB", "ACTN4", "THBS1", "THBS2", "ARHGAP35", "IGF1R", "ITGA9", "VEGFA", "COL1A1", "PAK2", "PARVA", "FLT1", "MET", "PDGFA", "ITGB4", "ACTN1")
53	KEGG_GNRH_SIGNALING_PATHWAY	0.310280373831776	0.604768786127168	0.102449405629826	0.304683935451996	1.08067287600603	64	c("JUN", "MAP2K6", "EGFR", "PLCB1", "PLA2G6", "ADCY8", "HBEGF", "GNA11", "MAP2K3", "ADCY1", "ITPR3", "KRAS", "PRKCD", "MMP2")
54	KEGG_PRION_DISEASES	0.357976653696498	0.67770297029703	0.096240602328129	0.365242580407877	1.07510600494956	27	c("EGR1", "PRNP", "LAMC1")
55	KEGG_PEROXISOME	0.311567164179104	0.604768786127168	0.102080107662747	0.30201040006045	1.07496715446091	65	c("FAR2", "MPV17L", "ACSL3", "ABCD3", "SOD2", "IDH2", "PEX16", "ACSL1", "GSTK1", "PEX3", "ECH1", "ACOX1", "DHRS4", "HSD17B4", "EPHX2", "EHHADH", "SLC27A2", "ACSL5", "PEX1", "ABCD4", "PXMP4")
56	KEGG_NUCLEOTIDE_EXCISION_REPAIR	0.373814041745731	0.683343653250774	0.0922597260527354	0.33487806250701	1.05691898691552	35	c("RPA2", "LIG1", "POLD2", "ERCC2", "XPC", "ERCC3", "CDK7", "RAD23B", "ERCC1", "XPA", "POLD3", "RPA1", "CCNH", "POLD1", "DDB1", "RFC3", "ERCC6", "POLE3")
57	KEGG_HEDGEHOG_SIGNALING_PATHWAY	0.413861386138614	0.723595268272074	0.0888945288620449	0.352222853107009	1.04511781129719	28	c("WNT10B", "WNT1", "PTCH1", "BMP2", "WNT2", "PTCH2", "WNT9B")
58	KEGG_SULFUR_METABOLISM	0.428861788617886	0.731819198925934	0.0883594442500905	0.48888085821942	1.04110720714658	7	c("SULT1A1", "CHST12")
59	KEGG_BASE_EXCISION_REPAIR	0.420152091254753	0.723595268272074	0.0857844408075645	0.366371496340022	1.03050198596851	22	c("PARP2", "UNG", "FEN1", "LIG1", "POLD2", "POLD3", "APEX1", "POLD1", "NEIL2", "NEIL1")
60	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.391554702495202	0.693611187277214	0.0902635484340068	0.254905671458903	1.02860195563761	131	c("BAIAP2", "CD14", "MYL9", "PDGFRA", "FGFR1", "ITGA7", "EGFR", "ITGA10", "FGF21", "SSH2", "WASL", "RRAS", "CFL2", "PDGFB", "MYH10", "INSRR", "BCAR1", "ITGA3", "ITGA2B", "VCL", "ITGA6", "PDGFRB", "VAV2", "ACTN4", "KRAS", "FGFR2", "ARHGAP35")
61	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.381852551984877	0.689558977370749	0.0908241419007155	0.284467883992753	1.02373927951875	69	c("ACTA2", "MYL9", "ADRA1A", "PTGIR", "NPR2", "PLCB1", "PLA2G6", "ADCY8", "ACTG2", "PRKCH", "GNA11", "ADCY1", "ITPR3", "PRKCD")
