nodeName	altName	nodeAttr[nodesPresent, ]
FBXO10	NA	red
FBXO11	NA	red
FBXO21	NA	red
FBXO25	NA	red
FBXO27	NA	red
FBXO30	NA	red
FBXO34	NA	red
FBXO45	NA	red
FBXO46	NA	red
FBXO8	NA	red
FBXW11	NA	red
FBXW8	NA	red
FCHSD1	NA	red
FCSK	NA	red
FECH	NA	red
FEM1A	NA	red
FEM1B	NA	red
FEM1C	NA	red
FERMT2	NA	red
FGF1	NA	red
FGFR1OP2	NA	red
FGFRL1	NA	red
FHIP1A	NA	red
FHIP1B	NA	red
FHIP2B	NA	red
FIS1	NA	red
FKBP11	NA	red
FKBP15	NA	red
FLI1	NA	red
FLOT2	NA	red
FNBP1L	NA	red
FNDC3B	NA	red
FNIP1	NA	red
FNTB	NA	red
FOSB	NA	red
FOXJ3	NA	red
FOXK2	NA	red
FOXN2	NA	red
FOXO1	NA	red
FOXRED1	NA	red
FREM2	NA	red
FRYL	NA	red
FSBP	NA	red
FSCN2	NA	red
FSD2	NA	red
FYCO1	NA	red
FYTTD1	NA	red
FZD2	NA	red
FZD5	NA	red
FZD6	NA	red
G6PC3	NA	red
GAB1	NA	red
GABARAPL1	NA	red
GALNT7	NA	red
GALT	NA	red
GAPVD1	NA	red
GAR1	NA	red
GARIN4	NA	red
GARRE1	NA	red
GARS1	NA	red
GAS2L1	NA	red
GAS2L3	NA	red
GAS8	NA	red
GATA4	NA	red
GATAD2B	NA	red
GATB	NA	red
GCC1	NA	red
GCFC2	NA	red
GCSAM	NA	red
GDPD1	NA	red
GEMIN7	NA	red
GFRA3	NA	red
GFUS	NA	red
GGA3	NA	red
GGNBP2	NA	red
GGPS1	NA	red
GGTA1	NA	red
GHR	NA	red
GID4	NA	red
GID8	NA	red
GIGYF1	NA	red
GIMAP6	NA	red
GINS3	NA	red
GIPC1	NA	red
GJA3	NA	red
GLCE	NA	red
GLG1	NA	red
GLUL	NA	red
GLYCTK	NA	red
GM2A	NA	red
GMCL1	NA	red
GMPR2	NA	red
GNA13	NA	red
GNB1L	NA	red
GNE	NA	red
GNMT	NA	red
GOLGA1	NA	red
GOLGB1	NA	red
GON4L	NA	red
GORAB	NA	red
GOSR1	NA	red
GPANK1	NA	red
GPAT4	NA	red
GPATCH3	NA	red
GPBAR1	NA	red
GPBP1	NA	red
GPBP1L1	NA	red
GPC4	NA	red
GPM6A	NA	red
GPN2	NA	red
GPN3	NA	red
GPR155	NA	red
GPR75	NA	red
GPRASP3	NA	red
GPSM2	NA	red
GRAMD4	NA	red
GRINA	NA	red
GRPEL2	NA	red
GSK3B	NA	red
GSTK1	NA	red
GTF2E1	NA	red
GTF2H1	NA	red
GTF2H4	NA	red
GTF3A	NA	red
GTF3C4	NA	red
GTF3C5	NA	red
GTF3C6	NA	red
GTPBP2	NA	red
GTPBP4	NA	red
GUCD1	NA	red
GUCY1A2	NA	red
GYS2	NA	red
GZF1	NA	red
HAPSTR1	NA	red
HAUS3	NA	red
HAUS5	NA	red
HBP1	NA	red
HCAR2	NA	red
HCFC1	NA	red
HCFC2	NA	red
HDAC6	NA	red
HDDC3	NA	red
